WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
treadle pump;2;n;3;pompa nożna;;
vacuum;2;n;2;próżnia;;
valve;2;n;2;zawór;;
variation;2;n;2;zróżnicowanie;;
visitor;2;n;1;gość;;
water table;2;n;3;lustro wody;;
waveband;2;n;2;pasmo częstotliwości;;
weed;2;n;2;chwast;;
wooden rail;2;n;3;drewniany balas w płocie;drewniana tralka;
yeast;2;n;2;drożdże;;
yield;2;n;3;zbiór;;
accuracy;3;n;2;dokładność;;
anchor point;3;n;2;punkt zakotwiczenia;;
arch bridge;3;n;2;most łukowy;;
barge;3;n;3;barka;;
beam bridge;3;n;2;most belkowy;;
box girder bridge;3;n;3;most skrzynkowy;;
brick;3;n;1;cegła;;
bridge deck;3;n;3;płyta nośna mostu;pomost;
cable stay bridge;3;n;3;most wantowy;most podwieszony;
century;3;n;1;stulecie;wiek;
challenge;3;n;2;wyzwanie;;
cofferdam;3;n;3;tymczasowa budowla hydrotechniczna;koferdam;
collapse;3;n;2;zawalenie się;;
compression;3;n;2;ściskanie;;
concrete lining;3;n;3;betonowa okładzina;betonowa obudowa wewnętrzna;
crane;3;n;2;dźwig;;
cutterhead;3;n;3;głowica skrawająca;;
damage;3;n;2;uszkodzenie;;
distortion;3;n;2;odkształcenie;;
drawbridge;3;n;3;most zwodzony;;
explosives;3;n;2;materialy wybuchowe;;
extinguisher;3;n;2;gaśnica;;
gang of men;3;n;3;brygada robocza;;
gas pipeline;3;n;2;gazociąg;;
girder;3;n;3;dźwigar;;
huge;3;adj;2;olbrzymi;;
inward tension;3;n;3;wewnętrzne naprężenie;wewnętrzny naciąg;
jack;3;n;3;podnośnik;;
laser-guided;3;adj;2;naprowadzany laserowo;;
lifting bridge;3;n;3;most podnoszony;;
load;3;n;3;obciążenie;;
log;3;n;2;kłoda;;
mandatory;3;adj;2;obowiązkowy;;
measurement;3;n;2;pomiar;;
parallel;3;adj;2;równoległy;;
pier;3;n;3;filar;pylon;
pivot bridge;3;n;3;most obrotowy;;
prohibition;3;n;1;zakaz;;
pump;3;n;1;pompa;;
refuse;3;n;3;urobek;odpady;
reinforced concrete;3;n;3;beton zbrojony;;
river bed;3;n;2;koryto rzeki;łoże rzeki;
sewage pipeline;3;n;2;kanalizacja ściekowa;;
sewer;3;n;2;kanał ściekowy;;
shear;3;n;3;ścinanie;;
shipping route;3;n;2;szlak żeglugowy;szlak morski;
solution;3;n;2;rozwiązanie;;
span;3;n;3;przęsło;;
spillage;3;n;3;wyciek;;
steel;3;n;1;stal;;
stone;3;n;1;kamień;;
stream;3;n;2;strumień;;
support;3;n;2;podpora;;
suspension bridge;3;n;2;most wiszący;;
swing bridge;3;n;3;most obrotowy;;
TBM;3;n;3;maszyna drążąca tunele;mechaniczny kret;
tension;3;n;3;naprężenie;;
tilt bridge;3;n;3;most przechyłowy;;
to astonish;3;v;2;zdumiewać;;
to bend;3;v;2;ugiąć (się);;
to bore;3;v;3;drążyć;wiercić;
to carry;3;v;2;przenosić;;
to develop;3;v;1;rozwijać (się);;
to drain;3;v;2;osuszyć;odprowadzić wodę;
to hoist;3;v;3;podnosić;;
to link;3;v;2;połączyć;;
to pass under;3;v;2;przechodzić pod (czymś);;
to pivot;3;v;3;obracać się wokół osi;;
to resist;3;v;2;być odpornym;stawiać opór (czemuś);
to strengthen;3;v;2;wzmocnić;;
to weaken;3;v;2;osłabić;;
to weld;3;v;2;spawać;;
tolerance;3;n;1;tolerancja;;
truss bridge;3;n;3;most kratownicowy;;
tunnel;3;n;1;tunel;;
twin towers;3;n;1;bliźniacze wieże;;
valley;3;n;1;dolina;;
viaduct;3;n;1;wiadukt;;
warning;3;n;1;ostrzeżenie;;
water pipeline;3;n;2;wodociąg;;
wet;3;adj;1;mokry;;
width;3;n;2;szerokość;;
ability;4;n;1;zdolność;;
annual;4;adj;3;coroczny;roczny;
appliance;4;n;3;urządzenie;;
artificial;4;adj;2;sztuczny;;
attention;4;n;2;uwaga;;
attractive;4;adj;1;atrakcyjny;;
bacteria;4;n;2;bakterie;;
biodegradable;4;adj;2;ulegający biodegradacji;;
carbon dioxide;4;n;3;dwutlenek węgla;;
clothing;4;n;2;odzież;ubranie;
coal;4;n;1;węgiel;;
component;4;n;1;komponent;część;
compression moulding;4;n;3;formowanie ciśnieniowe;;
consonant;4;n;3;spółgłoska;;
consumption;4;n;2;zużycie;konsumpcja;
contamination;4;n;3;zanieczyszczenie;skażenie;
corn;4;n;1;kukurydza;;
density;4;n;3;gęstość;;
dust;4;n;2;kurz;;
expected life;4;n;3;przewidywany okres bezawaryjnego działania;;
feedback;4;n;3;informacja zwrotna;sprzężenie zwrotne;
fibre;4;n;3;włókno;;
filament;4;n;3;włókno;żarnik;
flexibility;4;n;3;elastyczność;giętkość;
fuel tank;4;n;1;zbiornik paliwa;;
granule;4;n;3;granulka;;
industry;4;n;2;przemysł;;
injection moulding;4;n;3;formowanie wtryskowe;;
label;4;n;2;etykieta;;
majority;4;n;2;większość;;
man-made;4;adj;2;sztuczny;;
modern;4;adj;1;nowoczesny;;
moisture;4;n;3;wilgoć;;
non-durables;4;n;3;produkty nietrwałe;;
oxygen;4;n;2;tlen;;
permeability;4;n;3;przenikalność;;
pie chart;4;n;3;wykres kołowy;;
property;4;n;2;właściwość;cecha;nieruchomość
raw materials;4;n;3;surowce;;
resin;4;n;3;żywica;;
resistant;4;adj;2;odporny;;
sale;4;n;1;sprzedaż;;
sound;4;n;1;dźwięk;;
starch;4;n;3;skrobia;węglowodany;
suitable;4;adj;2;odpowiedni;właściwy;
thermoplastic;4;adj;3;termoplastyczny;;
thermoset;4;adj;3;termoutwardzalny;;
to achieve;4;v;2;osiągnąć;uzyskać;
to allow;4;v;1;pozwolić;;
to break down;4;v;2;rozkładać (się);zepsuć (się);
to disappear;4;v;1;znikać;;
to dispose;4;v;3;wyrzucić;pozbyćsię;
to encourage;4;v;3;zachęcać;;
to improve;4;v;2;ulepszyć;udoskonalić;
to mould;4;v;3;formować;kształtować;
to pronounce;4;v;2;wymawiać;;
to take off;4;v;3;powieść się;odnieść sukces;wystartować (o samolocie)
to treat;4;v;2;leczyć;traktować;
to wrap;4;v;2;opakować;owinąć;
tough;4;adj;2;twardy;;
unsaturated;4;adj;3;nienasycony;niewysycony;
versatile;4;adj;3;wszechstronny;uniwersalny;
vowel;4;n;3;samogłoska;;
wheat;4;n;2;pszenica;;
widely-used;4;adj;1;szeroko stosowany;;
advantage;5;n;1;zaleta;;
alternative;5;adj;2;alternatywny;;
anemometer;5;n;3;wiatromierz;anemometr;
approximate;5;adj;2;przybliżony;;
bearing;5;n;3;łożysko;;
blade;5;n;3;łopata wirnika;ostrze;
brake;5;n;2;hamulec;;
casing;5;n;3;obudowa;;
chain wheel;5;n;2;koło łańcuchowe;;
cogeneration plant;5;n;3;zakład kogeneracji;;
community;5;n;2;społeczność;wspólnota;
condition;5; n;1;warunek;stan;
converter;5;n;3;przetwornik;konwerter;
diameter;5;n;2;średnica;;
drive;5;n;2;napęd;;
earthquake;5;n;2;trzęsienie ziemi;;
fossil fuel;5;n;3;paliwo kopalne;;
gear transmission;5;n;3;przeniesienie napędu przekładnią;;
gearbox;5;n;3;przekładnia zębata;skrzynia biegów;
grid;5;n;3;sieć;;
grinder;5;n;3;szlifierka;młynek;kruszarka
guard;5;n;3;osłona;;
hard hat;5;n;3;kask;;
heat pump;5;n;2;pompa ciepła;;
high-speed;5;adj;3;szybkobieżny;szybkoobrotowy;
housing;5;n;3;obudowa;;
hub;5;n;3;piasta;;
hydraulic;5;adj;1;hydrauliczny;;
important;5;adj;1;ważny;;
induction;5;n;2;indukcja;;
inference;5;n;3;wnioskowanie;dedukcja;
journalist;5;n;1;dziennikarz;;
length;5;n;1;długość;;
low-speed;5;adj;3;wolnobieżny;wolnoobrotowy;
municipal;5;adj;2;miejski;;
nacelle;5;n;3;gondola silnika;obudowa silnika samolotu;
offshore;5;adj;3;na otwartym morzu;z dala od brzegu;zamorski
oil rig;5;n;3;platforma wiertnicza;;
organic waste;5;n;3;odpady organiczne;;
output;5;n;3;moc wyjściowa;produkcja;
PhD;5;n;3;stopień doktora;doktorat;
photovoltaic tile;5;n;3;ogniwo fotowoltaiczne;;
pitch;5;n;3;skok (śmigła);pochylenie (samolotu);
power;5;n;1;moc;;
previous;5;adj;2;poprzedni;;
rear;5;adj;2;tylny;wsteczny;
reason;5;n;2;powód;;
