WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;USE1;USE2;USE3
holiday;2;n;1;wakacje;;;;;
hospital;1;n;1;szpital;;;;;
hot;2;adj;1;gor¹cy;;;;;
hour;1;n;1;godzina;;;;;
however;1;adv;3;jednak;;;;;
huge;1;adj;2;olbrzymi;;;;;
hundred;1;n;1;sto;;;;;
ice-skater;1;n;2;³y¿wiarz;;;;;
idea;1;n;2;pomys³;;;;;
immigrant;1;n;2;imigrant;;;;;
immigration officer;2;n;3;urzêdnik biura imigracyjnego;;;;;
immortal;1;adj;3;nieœmiertelny;;;;;
important;1;adj;2;wa¿ny;;;;;
India;1;n;2;Indie;;;;;
infinitive;2;n;2;bezokolicznik;;;;;
information;2;n;1;informacja;;;;;
injury;1;n;3;kontuzja;;;;;
interest;1;n;1;zainteresowanie;;;;;
interesting;1;adj;1;interesuj¹cy;;;;;
international;1;adj;2;miêdzynarodowy;;;;;
interview;1;n;2;wywiad;;;;;
invention;2;n;2;wynalazek;;;;;
inventor;2;n;2;wynalazca;;;;;
irregular;2;adj;2;nieregularny;;;;;
island;2;n;2;wyspa;;;;;
Italian;1;adj;2;w³oski;;;;;
Japanese;2;adj;2;japoñski;;;;;
job;1;n;2;zawód;praca, zajêcie;;;;
journey;1;n;2;podró¿;;;;;
judge;1;n;2;sêdzia;;;;;
kind;1;n;1;rodzaj;;;;;
language;1;n;2;jêzyk;;;;;
large;1;adj;2;du¿y;;;;;
late;1;adj;2;spóŸniony;;;;;
league;1;n;2;liga;;;;;
leisure;1;n;2;czas wolny;;;;;
lesson;1;n;1;lekcja;;;;;
letter;1;n;1;litera;list;;;;
to link;2;v;3;po³¹czyæ;powi¹zaæ;;;;
live music;1;n;2;muzyka na ¿ywo;;;;;
local;1;adj;2;lokalny;;;;;
lonely;2;adj;2;samotny;;;;;
long;1;adj;1;d³ugi;;;;;
luggage;2;n;2;baga¿;;;;;
main;2;adj;2;g³ówny;;;;;
mainly;1;adv;3;g³ównie;;;;;
manager;1;n;2;kierownik;;;;;
marathon;1;n;2;maraton;;;;;
marbles;1;n;3;szklane kulki;marmury;;;;
meanwhile;2;adv;3;w miêdzyczasie;;;;;
medal;2;n;1;medal;;;;;
memory;2;n;3;wspomnienie;;;;;
message;1;n;2;wiadomoœæ;;;;;
metal;1;adj;2;metalowy;;;;;
midnight;1;n;2;pó³noc (godzina);;;;;
minute;1;n;1;minuta;;;;;
mixture;1;n;2;mieszanina;;;;;
modern;2;adj;2;nowoczesny;;;;;
money;1;n;1;pieni¹dze;;;;;
monsoon;1;n;3;monsun;;;;;
mood;2;n;2;nastrój;;;;;
morning;1;n;1;poranek;;;;;
mother;1;n;1;matka;;;;;
mother tongue;2;n;3;jêzyk ojczysty;;;;;
motorway;2;n;2;autostrada;;;;;
musical;1;adj;1;muzyczny;;;;;
musician;1;n;1;muzyk;;;;;
narrative;2;n;3;relacja;;;;;
nearly;2;adv;2;prawie;;;;;
never;1;adv;1;nigdy;;;;;
new;1;adj;1;nowy;;;;;
nickname;1;n;3;przezwisko;;;;;
normally;1;adv;2;normalnie;;;;;
north;1;n;1;pó³noc (geograficzna);;;;;
note;2;n;3;notatka;;;;;
object;2;n;3;dope³nienie;;;;;
occasionally;1;adv;2;okazjonalnie;;;;;
October;1;n;1;paŸdziernik;;;;;
often;1;adv;1;czêsto;;;;;
old;1;adj;1;stary;;;;;
once;1;adv;2;raz;;;;;
only;1;adv;1;tylko;;;;;
order;1;n;2;kolejnoœæ;;;;;
original;1;adj;2;oryginalny;;;;;
other;1;adj;2;inny;;;;;
pack of cards;1;n;2;talia kart;;;;;
page;1;n;2;strona;;;;;
pair;1;n;1;para;dwie osoby, rzeczy;;;;
paragraph;1;n;2;akapit;paragraf;;;;
park;1;n;1;park;;;;;
part;1;n;1;czêœæ;;;;;
partner;1;n;1;partner;;;;;
passport;2;n;2;paszport;;;;;
path;2;n;3;œcie¿ka;tor;;;;
period;1;n;2;okres;;;;;
person;1;n;1;osoba;;;;;
pet;1;n;1;zwierz¹tko domowe;;;;;
phone;1;n;1;telefon;;;;;
photo;2;n;2;fotografia;;;;;
phrase;1;n;2;fraza;;;;;
piano;1;n;1;fortepian;;;;;
piece;1;n;2;pionek;;;;;
place;1;n;1;miejsce;;;;;
plane;2;n;2;samolot;;;;;
plastic;1;adj;2;plastikowy;;;;;
player;1;n;1;gracz;;;;;
poll;1;n;3;ankieta;sonda¿;;;;
poor;1;adj;1;biedny;;;;;
popular;2;adj;1;popularny;;;;;
population;1;n;2;populacja;;;;;
possession;1;n;3;posiadana rzecz;posiadanie;w³asnoœæ;;;
preparation;1;n;2;przygotowanie;;;;;
president;2;n;1;prezydent;;;;;
professional;1;adj;2;zawodowy;profesjonalny;;;;
programme;2;n;2;program;;;;;
prompt;1;n;3;podpowiedŸ;;;;;
pronunciation;1;n;3;wymowa;;;;;
properly;1;adv;3;w³aœciwie;;;;;
public;1;adj;2;publiczny;;;;;
puzzle;1;n;2;zagadka;³amig³ówka;;;;
question;1;n;1;pytanie;;;;;
racket;1;n;2;rakieta (tenisowa);;;;;
rain;1;n;2;deszcz;;;;;
real;1;adj;2;realny;prawdziwy;;;;
really;2;adv;2;naprawdê;;;;;
reason;1;n;2;powód;;;;;
recorder;2;n;2;nagrywarka;;;;;
regular;2;adj;1;regularny;;;;;
regularly;1;adv;1;regularnie;;;;;
relation;1;n;2;stosunek;relacja;;;;
relaxed;2;adj;2;zrelaksowany;;;;;
restaurant;1;n;2;restauracja;;;;;
result;1;n;2;wynik;rezultat;;;;
revision;1;n;2;powtórka;;;;;
right;2;n;2;prawo;;;;;
routine;1;n;2;rutyna;;;;;
rule;1;n;2;zasada;;;;;
sad;2;adj;1;smutny;;;;;
same;1;adj;2;taki sam;;;;;
satellite;2;n;2;satelita;;;;;
saxophone;1;n;2;saksofon;;;;;
scale;2;n;2;skala;;;;;
scared;1;adj;2;przestraszony;;;;;
school;1;n;1;szko³a;;;;;
score;1;n;2;wynik punktowy;;;;;
season;1;n;2;pora roku;sezon;;;;
second;2;adj;1;drugi;;;;;
secretary;2;n;2;sekretarz;;;;;
shoe;1;n;1;but;;;;;
sign;2;n;2;znak;;;;;
similar;1;adj;2;podobny;;;;;
singer;1;n;1;piosenkarz;;;;;
sister;1;n;1;siostra;;;;;
situation;2;n;1;sytuacja;;;;;
society;2;n;3;spo³eczeñstwo;;;;;
sometimes;1;adv;1;czasami;;;;;
space;2;n;2;przestrzeñ;;;;;
spider;2;n;3;paj¹k;;;;;
sport;1;n;1;sport;;;;;
sportsman;1;n;1;sportowiec;;;;;
spot;1;n;2;punkt;;;;;
statement;1;n;3;twierdzenie;;;;;
stickball;1;n;3;palant;;;;;
strange;2;adj;2;dziwny;obcy;;;;
stranger;1;n;2;nieznajomy;;;;;
strategy;1;n;2;strategia;;;;;
stressed;1;adj;3;akcentowany;zestresowany;;;;
subject;2;n;3;podmiot;;;;;
suitcase;1;n;2;walizka;;;;;
surprised;2;adj;2;zaskoczony;;;;;
survey;1;n;3;sonda¿;;;;;
survival;2;n;3;przetrwanie;;;;;
swimming pool;1;n;1;basen;;;;;
syllable;2;n;2;sylaba;;;;;
tall;1;adj;1;wysoki;;;;;
task;1;n;2;zadanie;;;;;
teacher;1;n;1;nauczyciel;;;;;
team;1;n;2;dru¿yna;;;;;
technology;2;n;2;technika;;;;;
television;2;n;1;telewizja;;;;;
television set;2;n;2;telewizor;;;;;
tennis;1;n;2;tenis;;;;;
Thursday;1;n;1;czwartek;;;;;
tired;1;adj;2;zmêczony;;;;;
title;2;n;2;tytu³;;;;;
to add;1;v;2;dodaæ;;;;;
to agree;1;v;2;zgadzaæ siê;;;;;
to appear;2;v;2;pojawiæ siê;;;;;
to arrive;2;v;2;przybyæ;;;;;
to associate;1;v;3;kojarzyæ;;;;;
to become;2;v;2;staæ siê;;;;;
to begin;1;v;1;rozpocz¹æ;;;;;
to begin;2;v;1;zacz¹æ;;;;;
to believe;2;v;2;wierzyæ;;;;;
to book;2;v;2;zarezerwowaæ;;;;;
to box;1;v;2;boksowaæ;;;;;
to bring;2;v;2;przynieœæ;;;;;
to broadcast;2;v;3;nadawaæ program;;;;;
to buy;2;v;2;kupiæ;;;;;
to cancel;2;v;3;odwo³aæ;;;;;
to change;2;v;1;zmieniæ;;;;;
to check;1;v;2;sprawdziæ;;;;;
to choose;1;v;2;wybraæ;;;;;
to climb;2;v;3;wspinaæ siê;;;;;
to collect;1;v;2;zbieraæ;;;;;
to come from;1;v;2;pochodziæ z;;;;;
to compare;1;v;2;porównaæ;;;;;
to complete;1;v;2;uzupe³niæ;dokoñczyæ;;;;
to consume;1;v;2;konsumowaæ;;;;;
to continue;1;v;2;kontynuowaæ;;;;;
to cook;1;v;1;gotowaæ;;;;;
to cross;1;v;3;skreœliæ;przekroczyæ;;;;
to cycle;1;v;2;jeŸdziæ na rowerze;;;;;
to decide;1;v;2;decydowaæ;;;;;
to describe;1;v;2;opisaæ;;;;;
to design;2;v;2;projektowaæ;;;;;
to develop;2;v;2;rozwijaæ;;;;;
to die;2;v;2;umrzeæ;;;;;
to disagree;1;v;2;nie zgadzaæ siê;;;;;
to discuss;1;v;2;dyskutowaæ;;;;;
to drink;1;v;1;piæ;;;;;
to drive;2;v;1;prowadziæ samochód;;;;;
to earn;1;v;2;zarabiaæ;;;;;
to enjoy;2;v;2;czerpaæ przyjemnoœæ;;;;;
to escape;2;v;2;uciec;;;;;
to feel;1;v;2;czuæ;;;;;
to fight;1;v;2;walczyæ;;;;;
to find out;1;v;3;dowiedzieæ siê;;;;;
to fit;2;v;3;pasowaæ;;;;;
to fly;2;v;2;lecieæ;;;;;
to forget;2;v;2;zapomnieæ;;;;;
to get up;1;v;2;wstawaæ z ³ó¿ka;;;;;
to go sightseeing;2;v;3;zwiedzaæ;;;;;
to guess;1;v;2;zgadn¹æ;;;;;
to happen;2;v;2;zdarzyæ siê;;;;;
to hate;1;v;1;nienawidzieæ;;;;;
to hear;1;v;1;s³yszeæ;;;;;
to help;1;v;1;pomóc;;;;;
to hit;1;v;2;uderzyæ;;;;;
to hold;1;v;2;trzymaæ;;;;;
to include;1;v;3;zawieraæ;;;;;
to introduce;2;v;2;przedstawiæ siê;;;;;
to invent;2;v;2;wynaleŸæ;;;;;
to kick;1;v;1;kopn¹æ;;;;;
to know;1;v;1;znaæ;wiedzieæ;;;;
to last;1;v;3;trwaæ;;;;;
to learn;2;v;1;uczyæ siê;;;;;
to like;1;v;1;lubiæ;;;;;
to listen;1;v;1;s³uchaæ;;;;;
to lose;2;v;2;zgubiæ;straciæ;;;;
to mark;2;v;3;zaznaczyæ;;;;;
to match;1;v;2;dopasowaæ;;;;;
to meet;1;v;2;spotkaæ;poznaæ;;;;
to mind;1;v;2;mieæ coœ przeciw;;;;;
to miss;1;v;2;têskniæ;;;;;
to move;1;v;2;ruszaæ;;;;;
to need;1;v;2;potrzebowaæ;;;;;
to notice;1;v;2;zauwa¿yæ;;;;;
to open;1;v;1;otworzyæ;;;;;
to organise;1;v;2;organizowaæ;;;;;
to originate;1;v;3;wywodziæ siê, zapocz¹tkowaæ;;;;;
to pay;2;v;2;p³aciæ;;;;;
to play;1;v;1;graæ;;;;;
to practise;1;v;2;æwiczyæ;;;;;
to prefer;1;v;2;preferowaæ;;;;;
to press;1;v;2;nacisn¹æ;;;;;
to provide;1;v;2;dostarczyæ;;;;;
to reach;1;v;2;dotrzeæ;;;;;
to read;1;v;1;czytaæ;;;;;
to record;1;v;2;nagraæ, zapisaæ;;;;;
to remember;2;v;2;pamiêtaæ;;;;;
to result;1;v;3;wynikaæ;;;;;
to rewrite;2;v;2;przepisaæ;;;;;
to run;1;v;1;biec;;;;;
to save up;2;v;3;zaoszczêdziæ;;;;;
to score a goal;1;v;3;zdobyæ bramkê;strzeliæ gola;;;;
to search;1;v;2;szukaæ;;;;;
to sell;1;v;2;sprzedaæ;;;;;
to send;1;v;1;wys³aæ;;;;;
to share;1;v;2;dzieliæ siê czymœ;;;;;
to sing;1;v;1;œpiewaæ;;;;;
to sleep;2;v;1;spaæ;;;;;
to start;1;v;1;zacz¹æ;;;;;
to study;1;v;2;studiowaæ;;;;;
to swim;1;v;1;p³ywaæ;;;;;
to take part;1;v;3;wzi¹æ udzia³;;;;;
