WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;USE1;USE2;USE3
huge;1;adj;2;olbrzymi;;;;;
hundred;1;n;1;sto;;;;;
ice-skater;1;n;2;łyżwiarz;;;;;
idea;1;n;2;pomysł;;;;;
immigrant;1;n;2;imigrant;;;;;
immigration officer;2;n;3;urzędnik biura imigracyjnego;;;;;
immortal;1;adj;3;nieśmiertelny;;;;;
important;1;adj;2;ważny;;;;;
India;1;n;2;Indie;;;;;
infinitive;2;n;2;bezokolicznik;;;;;
information;2;n;1;informacja;;;;;
injury;1;n;3;kontuzja;;;;;
interest;1;n;1;zainteresowanie;;;;;
interesting;1;adj;1;interesujący;;;;;
international;1;adj;2;międzynarodowy;;;;;
interview;1;n;2;wywiad;;;;;
invention;2;n;2;wynalazek;;;;;
inventor;2;n;2;wynalazca;;;;;
irregular;2;adj;2;nieregularny;;;;;
island;2;n;2;wyspa;;;;;
Italian;1;adj;2;włoski;;;;;
Japanese;2;adj;2;japoński;;;;;
job;1;n;2;zawód;praca, zajęcie;;;;
journey;1;n;2;podróż;;;;;
judge;1;n;2;sędzia;;;;;
kind;1;n;1;rodzaj;;;;;
language;1;n;2;język;;;;;
large;1;adj;2;duży;;;;;
late;1;adj;2;spóźniony;;;;;
league;1;n;2;liga;;;;;
leisure;1;n;2;czas wolny;;;;;
lesson;1;n;1;lekcja;;;;;
letter;1;n;1;litera;list;;;;
to link;2;v;3;połączyć;powiązać;;;;
live music;1;n;2;muzyka na żywo;;;;;
local;1;adj;2;lokalny;;;;;
lonely;2;adj;2;samotny;;;;;
long;1;adj;1;długi;;;;;
luggage;2;n;2;bagaż;;;;;
main;2;adj;2;główny;;;;;
mainly;1;adv;3;głównie;;;;;
manager;1;n;2;kierownik;;;;;
marathon;1;n;2;maraton;;;;;
marbles;1;n;3;szklane kulki;marmury;;;;
meanwhile;2;adv;3;w międzyczasie;;;;;
medal;2;n;1;medal;;;;;
memory;2;n;3;wspomnienie;;;;;
message;1;n;2;wiadomość;;;;;
metal;1;adj;2;metalowy;;;;;
midnight;1;n;2;północ (godzina);;;;;
minute;1;n;1;minuta;;;;;
mixture;1;n;2;mieszanina;;;;;
modern;2;adj;2;nowoczesny;;;;;
money;1;n;1;pieniądze;;;;;
monsoon;1;n;3;monsun;;;;;
mood;2;n;2;nastrój;;;;;
morning;1;n;1;poranek;;;;;
mother;1;n;1;matka;;;;;
mother tongue;2;n;3;język ojczysty;;;;;
motorway;2;n;2;autostrada;;;;;
musical;1;adj;1;muzyczny;;;;;
musician;1;n;1;muzyk;;;;;
narrative;2;n;3;relacja;;;;;
nearly;2;adv;2;prawie;;;;;
never;1;adv;1;nigdy;;;;;
new;1;adj;1;nowy;;;;;
nickname;1;n;3;przezwisko;;;;;
normally;1;adv;2;normalnie;;;;;
north;1;n;1;północ (geograficzna);;;;;
note;2;n;3;notatka;;;;;
object;2;n;3;dopełnienie;;;;;
occasionally;1;adv;2;okazjonalnie;;;;;
